previousids	refseqids
Tc00.1047053503899.20	XP_812797
Tc00.1047053503899.30	XP_812798
Tc00.1047053505757.10	XP_804580
Tc00.1047053506669.10	XP_804692
Tc00.1047053511809.130	XP_813657
Tc00.1047053511809.99	XP_813659
Tc00.1047053511811.10	XP_804791
Tc00.1047053507873.34	XP_806121
Tc00.1047053510689.70	XP_809531
Tc00.1047053510737.70	XP_808712
Tc00.1047053510737.79	XP_808716
Tc00.1047053507485.10	XP_812377
Tc00.1047053507485.30	XP_812379
Tc00.1047053509979.90	XP_820786
Tc00.1047053509979.95	XP_820801
Tc00.1047053510039.90	XP_811059
Tc00.1047053503939.114	XP_815265
Tc00.1047053509805.84	XP_819960
Tc00.1047053507359.20	XP_804744
Tc00.1047053509147.40	XP_806295
Tc00.1047053503689.4	XP_805990
Tc00.1047053509571.79	XP_807961
Tc00.1047053506897.10	XP_805898
Tc00.1047053508789.220	XP_814496
Tc00.1047053458759.10	XP_802970
Tc00.1047053506885.280	XP_821530
Tc00.1047053510729.140	XP_818875
Tc00.1047053506963.20	XP_811573
Tc00.1047053507831.90	XP_814073
Tc00.1047053504125.40	XP_813219
Tc00.1047053504131.180	XP_815532
Tc00.1047053509027.20	XP_810408
Tc00.1047053511127.270	XP_821357
Tc00.1047053509859.80	XP_809435
Tc00.1047053503575.34	XP_808409
Tc00.1047053510943.26	XP_817095
Tc00.1047053509567.50	XP_807646
Tc00.1047053511407.20	XP_810459
Tc00.1047053507485.120	XP_812388
Tc00.1047053507485.140	XP_812390
Tc00.1047053508415.40	XP_804428
Tc00.1047053510755.50	XP_810482
Tc00.1047053510755.60	XP_810483
Tc00.1047053510761.14	XP_813348
Tc00.1047053511067.20	XP_806321
Tc00.1047053511903.130	XP_817930
Tc00.1047053508197.20	XP_803250
Tc00.1047053508199.10	XP_809864
Tc00.1047053506679.140	XP_820041
Tc00.1047053506679.150	XP_820042
Tc00.1047053508475.10	XP_804279
Tc00.1047053508823.120	XP_809988
Tc00.1047053508823.140	XP_809990
Tc00.1047053511361.40	XP_808970
Tc00.1047053510531.54	XP_812917
Tc00.1047053511819.14	XP_812132
Tc00.1047053508645.50	XP_807666
Tc00.1047053508647.10	XP_818238
Tc00.1047053506885.14	XP_821507
Tc00.1047053507773.34	XP_807547
Tc00.1047053510431.274	XP_819222
Tc00.1047053509695.210	XP_817768
Tc00.1047053509695.220	XP_817769
Tc00.1047053503987.10	XP_807393
Tc00.1047053511711.90	XP_809736
Tc00.1047053508593.10	XP_815706
Tc00.1047053508593.20	XP_815707
Tc00.1047053511621.210	XP_817562
Tc00.1047053511621.80	XP_817549
Tc00.1047053511393.30	XP_808871
Tc00.1047053509207.11	XP_813720
Tc00.1047053509207.20	XP_813706
Tc00.1047053511809.135	XP_813660
Tc00.1047053511809.140	XP_813658
Tc00.1047053511817.140	XP_819361
Tc00.1047053511817.161	XP_819377
Tc00.1047053511817.171	XP_819379
Tc00.1047053511857.50	XP_809758
Tc00.1047053504669.50	XP_808199
Tc00.1047053506015.40	XP_808763
Tc00.1047053503913.20	XP_804992
Tc00.1047053508277.260	XP_820285
Tc00.1047053506591.90	XP_810450
Tc00.1047053506989.270	XP_818655
Tc00.1047053506975.49	XP_813622
Tc00.1047053503891.100	XP_809750
Tc00.1047053510287.30	XP_805679
Tc00.1047053505057.10	XP_803982
Tc00.1047053505115.10	XP_803171
Tc00.1047053505931.40	XP_806455
Tc00.1047053507817.18	XP_807902
Tc00.1047053507817.9	XP_807903
Tc00.1047053506391.10	XP_805243
Tc00.1047053506391.20	XP_805244
Tc00.1047053507483.39	XP_808093
Tc00.1047053506297.150	XP_820199
Tc00.1047053506297.160	XP_820200
Tc00.1047053507513.60	XP_810870
Tc00.1047053507513.70	XP_810871
Tc00.1047053504181.40	XP_804739
Tc00.1047053509695.190	XP_817766
Tc00.1047053507051.20	XP_802703
Tc00.1047053510907.20	XP_804012
Tc00.1047053503541.40	XP_804210
Tc00.1047053508277.65	XP_820298
Tc00.1047053504079.10	XP_803300
Tc00.1047053508717.40	XP_811029
Tc00.1047053510029.50	XP_806439
Tc00.1047053511291.110	XP_811946
Tc00.1047053505123.10	XP_804633
Tc00.1047053508141.50	XP_809841
Tc00.1047053503453.30	XP_810701
Tc00.1047053506959.130	XP_814141
Tc00.1047053504445.10	XP_809054
Tc00.1047053504689.60	XP_810931
Tc00.1047053509965.50	XP_820224
Tc00.1047053511499.40	XP_808370
Tc00.1047053504159.40	XP_810214
Tc00.1047053506821.180	XP_815991
Tc00.1047053510719.110	XP_819190
Tc00.1047053509031.6	XP_806730
Tc00.1047053511487.71	XP_817153
Tc00.1047053507777.20	XP_805920
Tc00.1047053510173.130	XP_811594
Tc00.1047053506755.70	XP_818747
Tc00.1047053510359.60	XP_821731
Tc00.1047053511755.80	XP_814402
Tc00.1047053511021.10	XP_811314
Tc00.1047053511537.40	XP_809378
Tc00.1047053503893.80	XP_815090
Tc00.1047053508507.59	XP_807601
Tc00.1047053509569.90	XP_814979
Tc00.1047053508515.20	XP_815469
Tc00.1047053508641.184	XP_819790
Tc00.1047053447255.4	XP_803481
Tc00.1047053506559.59	XP_821825
Tc00.1047053506883.69	XP_809523
Tc00.1047053510429.24	XP_805155
Tc00.1047053508739.60	XP_815927
Tc00.1047053511681.20	XP_802900
Tc00.1047053509099.110	XP_816080
Tc00.1047053509319.20	XP_810594
Tc00.1047053506695.10	XP_806782
Tc00.1047053407477.50	XP_805236
Tc00.1047053511389.110	XP_814297
Tc00.1047053509695.170	XP_817764
Tc00.1047053511729.40	XP_806281
Tc00.1047053508411.10	XP_810628
Tc00.1047053506893.40	XP_807833
Tc00.1047053508501.190	XP_818144
Tc00.1047053506297.350	XP_820219
Tc00.1047053508041.10	XP_806972
Tc00.1047053504669.30	XP_808198
Tc00.1047053506015.20	XP_808762
Tc00.1047053506985.40	XP_808097
Tc00.1047053504741.140	XP_817785
Tc00.1047053509317.20	XP_809188
Tc00.1047053507159.30	XP_808037
Tc00.1047053507485.60	XP_812382
Tc00.1047053509391.10	XP_808306
Tc00.1047053509391.20	XP_808305
Tc00.1047053509391.30	XP_808304
Tc00.1047053508413.68	XP_808865
Tc00.1047053508413.76	XP_808866
Tc00.1047053510755.98	XP_810489
Tc00.1047053506765.50	XP_811522
Tc00.1047053506767.240	XP_820689
Tc00.1047053507923.10	XP_805639
Tc00.1047053511753.120	XP_812904
Tc00.1047053504655.30	XP_804277
Tc00.1047053506715.10	XP_805870
Tc00.1047053506835.110	XP_813551
Tc00.1047053506945.70	XP_818972
Tc00.1047053511865.80	XP_809104
Tc00.1047053511871.10	XP_814759
Tc00.1047053507077.50	XP_806378
Tc00.1047053510899.19	XP_807232
Tc00.1047053506887.80	XP_808796
Tc00.1047053510731.68	XP_810405
Tc00.1047053506479.20	XP_814102
Tc00.1047053511425.30	XP_806351
Tc00.1047053507601.150	XP_812480
Tc00.1047053507601.160	XP_812481
Tc00.1047053507601.170	XP_812482
Tc00.1047053507943.10	XP_806906
Tc00.1047053507943.20	XP_806907
Tc00.1047053507943.30	XP_806908
Tc00.1047053507943.40	XP_806909
Tc00.1047053507245.40	XP_809810
Tc00.1047053507779.30	XP_808462
Tc00.1047053507979.40	XP_807500
Tc00.1047053510055.30	XP_815631
Tc00.1047053506943.40	XP_812136
Tc00.1047053509065.50	XP_813794
Tc00.1047053507485.15	XP_812394
Tc00.1047053507485.34	XP_812392
Tc00.1047053507673.65	XP_806275
Tc00.1047053508461.500	XP_821642
Tc00.1047053508461.510	XP_821643
